# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 14 09:46:38 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
rowid,pl_hostname,ra,dec
386,HD 19994,48.193485,-1.196101
387,HD 200964,316.666016,3.803119
388,HD 200964,316.666016,3.803119
389,HD 202206,318.740692,-20.789209
390,HD 202206,318.740692,-20.789209
391,HD 203030,319.742584,26.230545
392,HD 2039,6.084491,-56.650047
393,HD 204313,322.050873,-21.726255
394,HD 204313,322.050873,-21.726255
395,HD 204941,323.097961,-20.957422
396,HD 205739,324.535034,-31.737484
397,HD 206610,325.853760,-7.408253
398,HD 20782,50.014908,-28.854071
399,HD 207832,328.151184,-26.026560
400,HD 207832,328.151184,-26.026560
401,HD 20794,49.981876,-43.069782
402,HD 20794,49.981876,-43.069782
403,HD 20794,49.981876,-43.069782
404,HD 208487,329.332703,-37.763622
405,HD 208527,329.099945,21.239859
406,HD 20868,50.177895,-33.730103
407,HD 209458,330.794891,18.884319
408,HD 210277,332.374451,-7.548654
409,HD 210702,332.963867,16.040550
410,HD 212301,336.878845,-77.717926
411,HD 212771,336.762787,-17.263659
412,HD 213240,337.751526,-49.433270
413,HD 215497,341.653137,-56.599533
414,HD 215497,341.653137,-56.599533
415,HD 216435,343.408051,-48.598286
416,HD 216437,343.664520,-70.073708
417,HD 216536,343.266602,44.477753
418,HD 216770,343.973785,-26.658764
419,HD 217107,344.564758,-2.395385
420,HD 217107,344.564758,-2.395385
421,HD 217786,345.784180,-0.429622
422,HD 218566,347.294708,-2.260742
423,HD 219077,348.527435,-62.700005
424,HD 219134,348.320740,57.168354
425,HD 219134,348.320740,57.168354
426,HD 219134,348.320740,57.168354
427,HD 219134,348.320740,57.168354
428,HD 219415,348.724274,56.730328
429,HD 219828,349.694733,18.645720
430,HD 220074,350.059906,61.970127
431,HD 220689,351.470795,-20.616030
432,HD 220773,351.614349,8.643845
433,HD 221287,352.834747,-58.209732
434,HD 222155,354.501282,48.996521
435,HD 222582,355.464722,-5.985757
436,HD 224693,359.974304,-22.428114
437,HD 22781,55.206356,31.826290
438,HD 23079,54.929562,-52.915836
439,HD 23127,54.848495,-60.077843
440,HD 231701,293.017334,16.474291
441,HD 233604,137.453384,53.568230
442,HD 23596,57.001556,40.530636
443,HD 240210,347.621792,57.029456
444,HD 240237,348.925934,58.043240
445,HD 24040,57.595699,17.476366
446,HD 25171,58.956001,-65.186676
447,HD 2638,7.499466,-5.764002
448,HD 27442,64.120956,-59.302155
449,HD 27631,64.939461,-41.960266
450,HD 27894,65.196030,-59.410835
451,HD 28185,66.609673,-10.550821
452,HD 28254,66.211273,-50.622192
453,HD 285507,61.755104,15.335032
454,HD 285968,70.732407,18.958172
455,HD 28678,67.856056,4.575287
456,HD 290327,80.839851,-2.277619
457,HD 2952,8.293311,54.894985
458,HD 30177,70.476555,-58.020756
459,HD 30562,72.151604,-5.674045
460,HD 30669,72.118690,-28.419298
461,HD 30856,72.574425,-24.368839
462,HD 31253,73.681892,12.352201
463,HD 32518,77.403000,69.639404
464,HD 330075,237.407043,-49.963524
465,HD 33142,76.898087,-13.986480
466,HD 33283,77.004219,-26.797472
467,HD 33564,80.639717,79.231148
468,HD 34445,79.420746,7.353343
469,HD 3651,9.840858,21.250473
470,HD 37124,84.260361,20.730787
471,HD 37124,84.260361,20.730787
472,HD 37124,84.260361,20.730787
473,HD 37605,85.007210,6.060579
474,HD 37605,85.007210,6.060579
475,HD 38283,84.258408,-73.699341
476,HD 38529,86.645470,1.168193
477,HD 38529,86.645470,1.168193
478,HD 38801,86.996567,-8.327700
479,HD 39091,84.291214,-80.469124
480,HD 40307,88.517670,-60.023472
481,HD 40307,88.517670,-60.023472
482,HD 40307,88.517670,-60.023472
483,HD 40307,88.517670,-60.023472
484,HD 40307,88.517670,-60.023472
485,HD 40307,88.517670,-60.023472
486,HD 40979,91.124763,44.260445
487,HD 41004 A,89.956871,-48.239693
488,HD 41004 B,89.956886,-48.239841
489,HD 4113,10.802486,-37.982632
490,HD 4203,11.171676,20.448927
491,HD 4203,11.171676,20.448927
492,HD 4208,11.111043,-26.515680
493,HD 4308,11.163615,-65.649521
494,HD 4313,11.418160,7.845021
495,HD 43197,93.398590,-29.897270
496,HD 43691,94.894485,41.092304
497,HD 44219,95.059677,-10.725009
498,HD 45350,97.190460,38.962963
499,HD 45364,96.410316,-31.480953
500,HD 45364,96.410316,-31.480953
501,HD 45652,97.304962,10.933891
502,HD 46375,98.302597,5.462925
503,HD 47186,99.036613,-27.622297
504,HD 47186,99.036613,-27.622297
505,HD 4732,12.308117,-24.136671
506,HD 4732,12.308117,-24.136671
507,HD 47536,99.448410,-32.339733
508,HD 48265,100.007195,-48.541954
509,HD 49674,102.877151,40.867756
510,HD 50499,103.008438,-33.915562
511,HD 50554,103.678436,24.245558
512,HD 52265,105.075150,-5.367162
513,HD 5319,13.755836,0.789553
514,HD 5319,13.755836,0.789553
515,HD 5608,14.559246,33.950886
516,HD 564,2.470091,-50.267822
517,HD 5891,15.138300,20.292484
518,HD 60532,113.513252,-22.296066
519,HD 60532,113.513252,-22.296066
520,HD 62509,116.328957,28.026199
521,HD 63454,114.841049,-78.278969
522,HD 63765,116.957161,-54.264145
523,HD 6434,16.167295,-39.488216
524,HD 65216,118.422173,-63.647324
525,HD 65216,118.422173,-63.647324
526,HD 66141,120.566406,2.334571
527,HD 66428,120.869438,-1.162709
528,HD 67087,121.915649,31.551319
529,HD 67087,121.915649,31.551319
530,HD 6718,16.952761,-8.233706
531,HD 68988,124.592384,61.460724
532,HD 69830,124.599777,-12.632174
533,HD 69830,124.599777,-12.632174
534,HD 69830,124.599777,-12.632174
535,HD 70573,125.708135,1.859323
536,HD 70642,125.367233,-39.705410
537,HD 7199,17.696762,-66.188164
538,HD 72659,128.513290,-1.568217
539,HD 73256,129.095901,-30.037626
540,HD 73267,129.074066,-34.459980
541,HD 73526,129.318680,-41.319103
542,HD 73526,129.318680,-41.319103
543,HD 73534,129.815842,12.960376
544,HD 74156,130.604675,4.578097
545,HD 74156,130.604675,4.578097
546,HD 7449,18.622173,-5.047387
547,HD 7449,18.622173,-5.047387
548,HD 75289,131.918289,-41.736794
549,HD 75784,133.099747,13.233433
550,HD 75898,133.461685,33.056812
551,HD 76700,133.481308,-66.800995
552,HD 77338,135.302063,-25.527061
553,HD 7924,20.496313,76.710281
554,HD 7924,20.496313,76.710281
555,HD 7924,20.496313,76.710281
556,HD 79498,138.789169,23.375549
557,HD 80606,140.656540,50.603722
558,HD 81040,140.946198,20.364454
559,HD 81688,142.166626,45.601482
560,HD 82886,143.938263,34.780743
561,HD 82943,143.711395,-12.129546
562,HD 82943,143.711395,-12.129546
563,HD 83443,144.299286,-43.272205
564,HD 8535,20.905149,-41.269802
565,HD 85390,147.510406,-49.790268
566,HD 85512,147.779388,-43.502789
567,HD 8574,21.302153,28.566692
568,HD 86081,149.024658,-3.808422
569,HD 86226,149.124359,-24.099390
570,HD 86264,149.240997,-15.895122
571,HD 8673,21.536604,34.579700
572,HD 87883,152.179749,34.242260
573,HD 88133,152.531982,18.186871
574,HD 89307,154.588699,12.621108
575,HD 89744,155.544006,41.229530
576,HD 90156,155.980316,-29.645529
577,HD 92788,160.702209,-2.183756
578,HD 93083,161.087143,-33.577023
579,HD 9446,23.334101,29.265148
580,HD 9446,23.334101,29.265148
581,HD 95086,164.262589,-68.667343
582,HD 95089,164.698898,1.729216
583,HD 95127,164.896194,43.814465
584,HD 96063,166.185226,-2.513218
585,HD 96127,166.441452,44.301559
586,HD 96167,166.312790,-10.291301
587,HD 97658,168.638184,25.710384
588,HD 98219,169.448135,-23.975414
589,HD 98649,170.215698,-23.217342
590,HD 99109,171.072327,-1.529076
591,HD 99492,171.692825,3.006328
592,HD 99492,171.692825,3.006328
593,HD 99706,172.125885,43.966579
594,HIP 105854,321.595306,-37.829430
595,HIP 107773,327.500519,-64.712540
596,HIP 116454,353.955353,0.445516
597,HIP 12961,41.678692,-23.086611
598,HIP 14810,47.809292,21.097359
599,HIP 14810,47.809292,21.097359
600,HIP 14810,47.809292,21.097359
601,HIP 5158,16.508533,-22.453154
602,HIP 5158,16.508533,-22.453154
603,HIP 57050,175.435974,42.751972
604,HIP 57274,176.170685,30.959293
605,HIP 57274,176.170685,30.959293
606,HIP 57274,176.170685,30.959293
607,HIP 63242,194.383163,-65.646461
608,HIP 65891,202.605301,-58.664356
609,HIP 67851,208.466919,-35.314362
610,HIP 67851,208.466919,-35.314362
611,HIP 70849,217.327347,-46.463818
612,HIP 75458,231.232391,58.966064
613,HIP 78530,240.481064,-21.980389
614,HIP 79431,243.174057,-18.875504
615,HIP 91258,279.221466,61.702503
616,HIP 97233,296.421967,-0.696645
617,HN Peg,326.130554,14.771939
618,HR 810,40.639442,-50.800293
619,HR 8799,346.869659,21.134251
620,HR 8799,346.869659,21.134251
621,HR 8799,346.869659,21.134251
622,HR 8799,346.869659,21.134251
623,K2-10,172.121964,1.690636
624,K2-11,169.042007,1.986840
625,K2-12,173.192032,2.244884
626,K2-13,170.155533,2.502696
627,K2-14,178.057022,2.594245
628,K2-15,178.110794,4.254747
629,K2-16,175.097260,4.557340
630,K2-16,175.097260,4.557340
631,K2-17,178.329773,6.412261
632,K2-18,172.560455,7.588391
633,K2-19,174.960312,0.603575
634,K2-19,174.960312,0.603575
635,K2-21,340.303680,-14.488987
636,K2-21,340.303680,-14.488987
637,K2-3,172.334946,-1.454787
638,K2-3,172.334946,-1.454787
639,K2-3,172.334946,-1.454787
640,K2-4,174.745636,-3.905585
641,K2-5,169.303497,-1.877976
642,K2-5,169.303497,-1.877976
643,K2-6,178.192261,-1.198477
644,K2-7,167.093765,-1.065755
645,K2-8,169.793671,-0.284375
646,K2-9,176.264465,0.005301
647,KELT-1,0.362142,39.383808
648,KELT-2 A,92.663948,30.957144
649,KELT-3,148.643326,40.388069
650,KELT-6,195.981873,30.640051
651,KELT-6,195.981873,30.640051
652,KELT-7,78.295532,33.318165
653,KELT-8,283.305511,24.127380
654,KIC 10001893,287.389191,46.984489
655,KIC 10001893,287.389191,46.984489
656,KIC 10001893,287.389191,46.984489
657,KOI-12,297.453735,41.010990
658,KOI-13,286.971191,46.868362
659,KOI-142,291.148102,40.669407
660,KOI-142,291.148102,40.669407
661,KOI-217,294.865509,46.285854
662,KOI-351,284.433502,49.305161
663,KOI-351,284.433502,49.305161
664,KOI-351,284.433502,49.305161
665,KOI-351,284.433502,49.305161
666,KOI-351,284.433502,49.305161
667,KOI-351,284.433502,49.305161
668,KOI-351,284.433502,49.305161
669,KOI-55,296.356110,41.092754
670,KOI-55,296.356110,41.092754
671,KOI-94,297.333069,41.891117
672,KOI-94,297.333069,41.891117
673,KOI-94,297.333069,41.891117
674,KOI-94,297.333069,41.891117
675,Kapteyn,77.919090,-45.018414
676,Kepler-10,285.679382,50.241299
677,Kepler-10,285.679382,50.241299
678,Kepler-100,291.385986,41.990273
679,Kepler-100,291.385986,41.990273
680,Kepler-100,291.385986,41.990273
681,Kepler-101,283.255493,48.355228
682,Kepler-101,283.255493,48.355228
683,Kepler-102,281.482758,47.208031
684,Kepler-102,281.482758,47.208031
685,Kepler-102,281.482758,47.208031
686,Kepler-102,281.482758,47.208031
687,Kepler-102,281.482758,47.208031
688,Kepler-103,288.984558,40.064522
689,Kepler-103,288.984558,40.064522
690,Kepler-104,287.604614,42.166779
691,Kepler-104,287.604614,42.166779
692,Kepler-104,287.604614,42.166779
693,Kepler-105,287.887329,46.276237
694,Kepler-105,287.887329,46.276237
695,Kepler-106,300.863983,44.337555
696,Kepler-106,300.863983,44.337555
697,Kepler-106,300.863983,44.337555
698,Kepler-106,300.863983,44.337555
699,Kepler-107,297.028259,48.208611
700,Kepler-107,297.028259,48.208611
701,Kepler-107,297.028259,48.208611
702,Kepler-107,297.028259,48.208611
703,Kepler-108,294.559174,46.062325
704,Kepler-108,294.559174,46.062325
705,Kepler-109,290.392731,40.284874
706,Kepler-109,290.392731,40.284874
707,Kepler-11,297.115112,41.909138
